time,count,user_count,distance_median,distance_mean,distance_max
Mon Sep 03 00:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 01:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 02:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 03:00:00 UTC 2012,1,DavidOderSo=1,0,0,0
Mon Sep 03 04:00:00 UTC 2012,1,biaefabio2=1,0,0,0
Mon Sep 03 05:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 06:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 07:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 08:00:00 UTC 2012,3,IDFWoman=1_MusinaMaria=1_Nils_Lange=1,0,0,0
Mon Sep 03 09:00:00 UTC 2012,3,BloodyFox13=1_xxlhonk=1_xxOliverkcxx=1,0,0,0
Mon Sep 03 10:00:00 UTC 2012,1,pelle2011=1,0,0,0
Mon Sep 03 11:00:00 UTC 2012,1,DanielRJStecher=1,0,0,0
Mon Sep 03 12:00:00 UTC 2012,2,BloodyFox13=1_Sico93=1,0,0,0
Mon Sep 03 13:00:00 UTC 2012,2,musumappa=2,2.2037252128049,2.2037252128049,2.2037252128049
Mon Sep 03 14:00:00 UTC 2012,2,musumappa=1_zinduKhujista=1,0,0,0
Mon Sep 03 15:00:00 UTC 2012,3,MusinaMaria=1_fabnie=1_hynek=1,0,0,0
Mon Sep 03 16:00:00 UTC 2012,7,musumappa=2_arrimaniac=2_BloodyFox13=1_AribaSP=1_xxlhonk=1,3.57950724922201,3.57950724922201,7.05075948356679
Mon Sep 03 17:00:00 UTC 2012,1,Orz_zai=1,0,0,0
Mon Sep 03 18:00:00 UTC 2012,7,SebSemmi=3_Orz_zai=2_bremski=1_xIAmFamous=1,0,0,0
Mon Sep 03 19:00:00 UTC 2012,2,krusepp=1_SebSemmi=1,0,0,0
Mon Sep 03 20:00:00 UTC 2012,2,xIAmFamous=1_bernd_n=1,0,0,0
Mon Sep 03 21:00:00 UTC 2012,2,DavidOderSo=1_xIAmFamous=1,0,0,0
Mon Sep 03 22:00:00 UTC 2012,1,pelle2011=1,0,0,0
Mon Sep 03 23:00:00 UTC 2012,1,SebSemmi=1,0,0,0
Tue Sep 04 00:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 01:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 02:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 03:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 04:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 05:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 06:00:00 UTC 2012,1,Erik_Berlin=1,0,0,0
Tue Sep 04 07:00:00 UTC 2012,3,MrPelz=3,2.49859304038008,2.49859304038008,2.49859304038008
Tue Sep 04 08:00:00 UTC 2012,2,TinaFasshauer=1_nida78=1,0,0,0
Tue Sep 04 09:00:00 UTC 2012,1,MrPelz=1,0,0,0
Tue Sep 04 10:00:00 UTC 2012,1,MrPelz=1,0,0,0
Tue Sep 04 11:00:00 UTC 2012,5,MrPelz=3_JeffreySilver99=1_rgoldmann=1,0.297406009282009,0.297406009282009,0.297406009282009
Tue Sep 04 12:00:00 UTC 2012,7,AlessioVr46=3_MrPelz=2_rgoldmann=1_Amujan=1,2.08148894043051,2.08148894043051,3.55478712207886
Tue Sep 04 13:00:00 UTC 2012,2,rgoldmann=2,0.879270513834437,0.879270513834437,0.879270513834437
Tue Sep 04 14:00:00 UTC 2012,4,rgoldmann=2_Event_Detection=1_wdt_b=1,0.18351583539184,0.18351583539184,0.18351583539184
Tue Sep 04 15:00:00 UTC 2012,3,TimSuck=1_DanielRJStecher=1_nida78=1,0,0,0
Tue Sep 04 16:00:00 UTC 2012,2,xIAmFamous=1_Nils_Lange=1,0,0,0
Tue Sep 04 17:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 18:00:00 UTC 2012,2,xIAmFamous=1_genscha=1,0,0,0
Tue Sep 04 19:00:00 UTC 2012,1,radio_tishina=1,0,0,0
